respondent_id,persona,age_group,gender,city_tier,monthly_hh_income,hh_type,products_used_shampoo,products_used_conditioner,products_used_body_wash,products_used_bar_soap,products_used_dishwash,products_used_laundry,products_used_floor_cleaner,products_used_toilet_cleaner,primary_channel,actual_spend_personal_care,actual_spend_mid,total_hh_spend_monthly,purchase_drivers_price,purchase_drivers_brand_trust,purchase_drivers_ingredients,purchase_drivers_eco_pkg,purchase_drivers_efficacy,purchase_drivers_fragrance,purchase_drivers_recommendation,purchase_drivers_availability,habit_strength,eco_concern_score,prior_eco_purchase,green_identity,lifestyle_exercise_yoga,lifestyle_track_waste,lifestyle_organic_food,lifestyle_eco_content,lifestyle_lifestyle_change,lifestyle_repair_reuse,greenwashing_skepticism,premium_willingness_pct,brand_switch_readiness,hard_water_waxy_hair,hard_water_poor_lather,hard_water_softener,hard_water_no_issue,trust_signal_lab_tests,trust_signal_certification,trust_signal_friend_rec,trust_signal_influencer_rec,trust_signal_free_sample,trust_signal_money_back,trust_signal_reviews,peer_eco_usage,discovery_channel,format_interest_shampoo_bar,format_interest_dishwash_block,format_interest_laundry_sheets,format_interest_body_bar,format_interest_surface_tablets,format_interest_conditioner_bar,format_interest_toilet_tablet,format_interest_none,barrier_efficacy_doubt,barrier_unfamiliar,barrier_price,barrier_availability,barrier_habit,barrier_humidity,barrier_no_concern,preferred_eco_channel,ayurveda_affinity,subscription_intent,bundle_pref_bathroom_kit,bundle_pref_kitchen_kit,bundle_pref_full_home,bundle_pref_trial_sampler,bundle_pref_gift_hamper,bundle_pref_no_bundle,eco_spend_willingness,max_price_shampoo_bar,max_price_laundry_sheets,pricing_model_pref,scenario_purchase_intent,overall_interest_score,interest_binary,interest_3class,actual_spend_mid_fill,aspiration_gap,lifestyle_score,format_interest_count,barrier_count,trust_signal_count,sdb_flag,is_outlier
R0601,Mindful Parent,45-54,Male,Tier3,100-200k,Joint,1,1,1,0,1,1,1,0,Amazon_Flipkart,401-700,550.0,967,1,0,1,0,1,0,0,1,gt5y,5,No_considered,Conscious_buyer,0,1,1,1,0,0,4,0,4,0,1,0,0,1,0,1,0,1,1,1,I_influence,Eco_store,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,Amazon,Very_imp,Yes_already,1,1,0,1,1,0,1596,100-150,lt150,Single,Unlikely,3,0,Neutral,550.0,1046.0,3,2,2,5,0,0
R0602,Mindful Parent,35-44,Male,Metro,,Single,1,1,0,1,1,1,1,1,D2C,701-1200,950.0,1135,1,0,1,0,0,1,0,1,6m-2y,4,Yes_regularly,Core_identity,1,0,1,1,1,0,4,11-20,4,0,0,0,1,0,0,0,0,0,0,0,Friends_rec,Article_news,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,Amazon,Somewhat,Yes_if_discount,0,0,0,0,1,0,354,151-200,150-250,Monthly_sub,Research_first,5,1,Interested,950.0,-596.0,4,7,0,0,0,0
R0603,Mindful Parent,18-24,Female,Tier2,lt25k,Family_small,1,1,1,0,1,1,1,1,D2C,701-1200,950.0,320,1,1,0,1,1,0,0,1,gt5y,4,No_considered,Curious,0,0,1,0,1,0,3,gt30,5,0,0,0,1,1,0,0,0,1,0,0,Friends_rec,Friend_family,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Quick_comm,Very_imp,Try_first,1,1,1,1,0,0,198,100-150,351-500,Quarterly_bulk,Research_first,3,0,Neutral,950.0,-752.0,2,4,2,2,0,0
R0604,Eco Warrior,35-44,Male,Tier3,gt200k,Single,1,1,1,0,0,0,1,1,Amazon_Flipkart,401-700,550.0,3000,0,0,0,0,1,0,1,0,lt6m,5,Yes_few,Core_identity,0,1,1,1,0,0,2,21-30,5,0,0,0,1,0,0,0,0,1,0,1,Friends_rec,Friend_family,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,Supermarket,Neutral,Yes_already,0,1,1,0,0,0,2061,gt300,gt500,Quarterly_bulk,Wishlist,5,1,Interested,550.0,1511.0,3,4,1,2,0,0
R0605,Mindful Parent,35-44,Male,Tier2,50-100k,Family_small,1,0,1,0,1,1,1,1,Modern_trade,gt1200,1400.0,624,0,1,0,1,1,0,1,0,lt6m,4,Yes_few,Conscious_buyer,1,1,0,0,0,1,2,11-20,5,0,0,0,1,1,0,0,0,1,0,0,Friends_rec,Article_news,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,Eco_store,Not_imp,Yes_if_discount,1,0,0,0,0,1,978,151-200,150-250,Single,Wishlist,3,0,Neutral,1400.0,-422.0,3,3,1,2,0,0
R0606,Eco Skeptic,35-44,Male,Tier3,100-200k,Family_small,1,1,1,1,1,1,1,1,Kirana,200-400,300.0,1368,1,0,1,0,1,1,1,0,2-5y,1,No_considered,Conscious_buyer,1,1,0,1,1,0,5,11-20,4,0,0,0,1,1,1,0,0,1,0,0,No_circle,Article_news,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Nykaa,Very_imp,Try_first,0,1,0,1,1,1,1065,151-200,150-250,Single,Unlikely,1,0,Not_Interested,300.0,765.0,4,1,2,3,0,0
R0607,Mindful Parent,25-34,Female,Tier1,100-200k,Family_small,1,1,1,0,1,1,1,1,Amazon_Flipkart,701-1200,950.0,1614,0,0,0,0,0,1,0,1,6m-2y,5,No_considered,Curious,0,1,1,0,0,1,2,1-10,4,1,1,0,0,1,1,0,0,1,0,1,Family_use,Marketplace_browse,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Brand_website,Not_imp,Yes_if_discount,1,1,0,1,1,0,956,151-200,351-500,Single,Wishlist,1,0,Not_Interested,950.0,6.0,3,2,1,4,0,0
R0608,Eco Skeptic,35-44,Male,Metro,50-100k,Couple,1,1,1,1,0,0,1,1,Kirana,701-1200,950.0,747,1,0,0,0,0,0,0,0,gt5y,5,No_not_priority,Occasional,1,1,0,0,0,0,4,11-20,4,1,0,0,0,1,1,0,0,1,0,0,No_circle,Article_news,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,Quick_comm,Neutral,No,0,0,0,1,0,0,474,100-150,lt150,Quarterly_bulk,Unlikely,1,0,Not_Interested,950.0,-476.0,2,5,3,3,0,0
R0609,Eco Skeptic,35-44,Female,Tier2,50-100k,Family_small,1,0,1,0,1,1,1,1,Kirana,401-700,550.0,1040,1,1,1,0,0,0,0,1,gt5y,3,No_considered,Curious,0,1,1,1,0,0,3,11-20,1,0,0,0,1,1,0,1,0,0,1,0,Family_use,Friend_family,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,Eco_store,Somewhat,No,0,0,0,1,0,0,878,lt100,150-250,Quarterly_bulk,No,2,0,Not_Interested,550.0,328.0,3,4,2,3,0,0
R0610,Urban Renter,25-34,Male,Tier2,100-200k,Single,1,0,0,1,1,1,1,1,Amazon_Flipkart,200-400,300.0,759,0,1,0,0,1,1,0,1,6m-2y,4,Yes_few,Curious,0,1,0,1,1,1,4,11-20,3,1,0,0,0,0,0,0,0,0,0,1,No_circle,Influencer,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,Quick_comm,Somewhat,Try_first,1,0,0,0,0,0,1395,100-150,lt150,Monthly_sub,No,3,0,Neutral,300.0,1095.0,4,6,2,1,1,0
R0611,Eco Warrior,35-44,Female,Tier1,,Single,1,0,1,1,1,1,0,0,D2C,401-700,550.0,1719,1,0,0,1,1,0,0,0,lt6m,5,Yes_regularly,Core_identity,1,1,1,1,1,0,5,11-20,3,0,1,1,0,0,0,0,1,1,0,1,Family_use,Influencer,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,Amazon,Somewhat,Yes_already,1,1,0,0,0,0,762,151-200,251-350,Single,Wishlist,4,1,Interested,550.0,212.0,5,6,0,3,0,0
R0612,Urban Renter,25-34,Male,Tier2,lt25k,Single,1,1,0,1,1,1,1,0,Quick_commerce,200-400,300.0,174,0,0,1,1,1,1,0,1,lt6m,4,No_considered,Conscious_buyer,1,1,0,1,0,0,3,gt30,5,0,0,0,1,0,0,1,0,0,0,1,No_circle,Doctor_derm,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,Quick_comm,Neutral,Yes_if_discount,1,0,0,0,1,0,447,151-200,251-350,Monthly_sub,Wishlist,2,0,Not_Interested,300.0,147.0,3,3,1,2,1,0
R0613,Urban Renter,25-34,Female,Tier2,25-50k,Couple,1,1,1,0,1,1,1,0,Quick_commerce,701-1200,950.0,482,1,1,1,0,1,1,1,1,No_fixed,3,No_considered,Occasional,0,0,0,0,0,0,3,11-20,5,0,0,0,1,0,0,1,0,0,0,1,Family_use,Marketplace_browse,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,Quick_comm,Somewhat,Try_first,0,1,1,0,0,0,446,151-200,251-350,Single,Order_now,4,1,Interested,950.0,-504.0,0,4,2,2,1,0
R0614,Eco Warrior,25-34,Female,Tier2,100-200k,Single,1,1,1,0,1,1,1,1,Modern_trade,701-1200,950.0,2449,0,1,0,0,0,0,0,1,gt5y,5,Yes_few,Core_identity,1,1,0,0,1,0,3,gt30,5,0,0,0,1,0,0,1,1,0,0,1,I_influence,Influencer,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,Brand_website,Somewhat,Yes_already,1,1,1,0,0,0,2756,151-200,251-350,Refill_system,Wishlist,5,1,Interested,950.0,1806.0,3,5,0,3,0,1
R0615,Price Pragmatist,18-24,Male,Tier1,lt25k,Single,0,1,1,1,1,1,1,0,Kirana,lt200,150.0,96,1,1,1,0,1,1,0,1,2-5y,5,No_not_priority,Not_priority,1,1,0,1,0,0,3,1-10,3,0,0,0,1,0,0,1,0,1,1,0,No_circle,Marketplace_browse,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,Quick_comm,Somewhat,Try_first,0,0,0,0,0,0,56,151-200,150-250,Single,Research_first,3,0,Neutral,150.0,-94.0,3,2,2,3,0,0
R0616,Price Pragmatist,35-44,Male,Tier1,lt25k,Single,0,0,1,1,0,1,1,1,Kirana,401-700,550.0,249,1,1,1,1,1,0,0,0,2-5y,3,No_not_priority,Occasional,0,0,1,1,0,0,2,0,3,0,1,0,0,0,1,1,1,1,0,0,No_circle,Free_sample,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,Amazon,Very_imp,No,0,0,0,0,0,0,126,100-150,lt150,Monthly_sub,Research_first,2,0,Not_Interested,550.0,-424.0,2,3,3,4,0,0
R0617,Eco Warrior,45-54,Female,Metro,gt200k,Couple,1,0,1,0,1,1,1,1,Modern_trade,gt1200,1400.0,3000,1,1,1,1,1,0,1,0,6m-2y,5,Yes_few,Core_identity,0,0,1,0,1,1,3,gt30,4,0,1,0,0,0,1,0,1,1,1,1,Friends_rec,Eco_store,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,Amazon,Somewhat,Yes_if_discount,1,0,1,0,1,0,3000,151-200,gt500,Monthly_sub,Unlikely,5,1,Interested,1400.0,1600.0,3,5,0,5,0,0
R0618,Mindful Parent,45-54,Male,Metro,50-100k,Couple,1,1,1,1,1,0,0,1,Kirana,701-1200,950.0,1072,1,1,0,0,1,0,1,1,gt5y,2,Yes_few,Curious,0,0,0,1,0,0,3,21-30,3,1,1,0,0,0,1,1,1,0,1,1,No_circle,Marketplace_browse,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,Nykaa,Very_imp,Yes_if_discount,0,1,0,1,1,0,596,151-200,351-500,Single,Order_now,5,1,Interested,950.0,-354.0,1,4,3,5,0,0
R0619,Price Pragmatist,45-54,Male,Tier2,100-200k,Family_small,1,1,1,1,1,1,1,1,Amazon_Flipkart,lt200,150.0,682,1,1,1,0,1,0,0,1,2-5y,3,No_considered,Not_priority,0,0,1,0,1,0,3,0,5,0,0,1,1,1,0,1,1,0,1,0,Unsure,Influencer,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Eco_store,Neutral,Try_first,0,0,0,0,1,1,461,100-150,lt150,Single,Unlikely,1,0,Not_Interested,150.0,311.0,2,1,2,4,0,0
R0620,Urban Renter,25-34,Female,Tier1,lt25k,Couple,1,1,1,0,1,1,1,0,D2C,lt200,150.0,253,1,1,1,0,0,0,0,0,gt5y,3,No_considered,Occasional,0,0,1,0,1,1,3,11-20,5,0,0,0,1,0,1,1,0,1,0,0,Friends_rec,Influencer,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,Quick_comm,Somewhat,Yes_if_discount,1,0,0,1,0,0,283,100-150,150-250,Quarterly_bulk,No,2,0,Neutral,150.0,133.0,3,3,3,3,1,0
R0621,Mindful Parent,35-44,Female,Tier1,25-50k,Couple,1,1,1,1,1,1,1,1,Kirana,200-400,300.0,554,1,0,0,0,0,1,1,1,gt5y,5,No_considered,Conscious_buyer,0,0,1,1,0,0,3,1-10,3,0,0,0,1,0,0,1,0,0,0,1,No_circle,Article_news,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,Amazon,Somewhat,No,1,0,1,1,0,0,758,100-150,150-250,Monthly_sub,Research_first,5,1,Interested,300.0,458.0,2,5,3,2,0,0
R0622,Mindful Parent,35-44,Female,Tier1,25-50k,Family_small,1,1,1,1,1,1,1,0,D2C,401-700,550.0,400,1,0,1,1,0,1,1,1,6m-2y,4,Yes_few,Occasional,0,0,0,0,0,0,5,11-20,5,0,0,0,1,0,1,0,0,1,0,1,Friends_rec,Doctor_derm,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,Nykaa,Somewhat,Try_first,0,1,0,1,1,0,323,151-200,351-500,Quarterly_bulk,Unlikely,3,0,Not_Interested,550.0,-227.0,0,5,2,3,1,0
R0623,Eco Skeptic,45-54,Female,Tier2,25-50k,Family_small,1,0,1,0,1,1,1,1,Quick_commerce,lt200,150.0,657,1,1,1,1,1,0,0,1,6m-2y,4,Yes_regularly,Curious,0,0,1,1,1,1,5,21-30,1,0,0,0,1,1,0,0,0,0,0,0,Friends_rec,Friend_family,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Nykaa,Not_imp,Try_first,0,0,0,0,0,1,210,151-200,351-500,Monthly_sub,No,1,0,Not_Interested,150.0,60.0,4,2,2,1,0,0
R0624,Eco Skeptic,18-24,Female,Metro,50-100k,Family_small,1,1,1,1,1,0,1,1,Modern_trade,401-700,550.0,488,1,1,0,0,1,1,1,0,gt5y,2,No_not_priority,Not_priority,1,0,0,0,1,0,5,11-20,3,0,0,0,1,0,1,1,1,0,0,0,No_circle,Marketplace_browse,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Supermarket,Neutral,Try_first,0,0,1,0,1,0,908,201-300,251-350,Single,Unlikely,3,0,Neutral,550.0,358.0,2,1,2,3,0,0
R0625,Urban Renter,25-34,Male,Metro,gt200k,Single,1,0,1,1,1,0,1,0,Amazon_Flipkart,401-700,550.0,2654,0,0,0,0,1,0,0,0,gt5y,3,No_considered,Occasional,0,1,0,1,0,0,3,11-20,5,0,0,0,1,0,0,1,0,0,1,0,No_circle,Free_sample,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,Nykaa,Somewhat,No,0,1,0,0,1,0,2035,151-200,lt150,Refill_system,Wishlist,3,0,Neutral,550.0,1485.0,2,4,2,2,1,0
R0626,Eco Skeptic,25-34,Male,Tier1,50-100k,Family_small,1,1,1,1,1,1,1,1,Amazon_Flipkart,200-400,300.0,856,1,1,1,1,1,0,1,0,lt6m,1,No_considered,Occasional,1,1,1,0,1,1,5,0,2,1,0,1,0,0,0,1,0,1,1,0,Family_use,Friend_family,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Brand_website,Very_imp,Try_first,0,0,0,0,1,0,565,201-300,351-500,Quarterly_bulk,No,3,0,Neutral,300.0,265.0,5,2,1,3,0,0
R0627,Eco Skeptic,35-44,Female,Metro,50-100k,Family_large,1,1,0,1,0,0,1,1,Amazon_Flipkart,401-700,550.0,850,1,1,0,1,1,1,1,0,2-5y,5,No_not_priority,Curious,0,0,1,0,0,1,4,21-30,5,1,1,0,0,1,1,1,1,1,0,1,No_circle,Marketplace_browse,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,Eco_store,Very_imp,Yes_if_discount,1,0,0,1,0,0,559,100-150,150-250,Single,Research_first,2,0,Not_Interested,550.0,9.0,2,3,4,6,1,0
R0628,Urban Renter,18-24,Female,Metro,25-50k,Single,1,1,0,0,1,1,0,0,Modern_trade,701-1200,950.0,119,1,1,1,0,1,1,1,0,lt6m,4,No_considered,Occasional,1,0,1,0,0,0,3,1-10,5,1,0,1,0,0,0,0,0,1,0,0,I_influence,Marketplace_browse,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,Quick_comm,Somewhat,Yes_if_discount,1,0,0,0,0,0,457,100-150,351-500,Quarterly_bulk,Research_first,5,1,Interested,950.0,-493.0,2,3,0,1,0,0
R0629,Eco Warrior,25-34,Male,Metro,gt200k,Single,1,1,1,1,1,0,0,1,Amazon_Flipkart,gt1200,1400.0,3000,0,0,1,0,0,0,0,0,6m-2y,5,Yes_few,Core_identity,1,1,0,0,1,0,3,21-30,5,1,0,0,0,0,1,0,0,1,0,0,Friends_rec,Influencer,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,Amazon,Very_imp,Yes_already,0,0,1,0,0,0,3000,201-300,gt500,Single,Order_now,5,1,Interested,1400.0,1600.0,3,7,0,2,0,0
R0630,Mindful Parent,25-34,Male,Tier2,25-50k,Family_small,1,1,0,1,1,1,0,1,Quick_commerce,,,598,0,1,0,0,1,1,1,0,2-5y,5,Yes_regularly,Core_identity,0,0,0,0,0,1,2,1-10,5,0,0,0,1,0,1,1,1,0,1,1,No_circle,Eco_store,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Nykaa,Somewhat,Yes_if_discount,0,1,0,0,0,0,467,151-200,lt150,Monthly_sub,Wishlist,5,1,Interested,,-83.0,1,1,1,5,0,0
R0631,Urban Renter,25-34,Male,Metro,25-50k,Family_small,1,1,1,1,1,1,1,1,D2C,200-400,300.0,570,1,0,0,0,0,0,1,1,lt6m,4,Yes_few,Not_priority,1,0,1,0,0,0,4,1-10,3,0,0,0,1,0,0,0,0,0,1,0,No_circle,Free_sample,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,Quick_comm,Very_imp,Try_first,0,0,0,0,0,1,412,100-150,gt500,Monthly_sub,Order_now,5,1,Interested,300.0,112.0,2,3,1,1,0,0
R0632,Price Pragmatist,55+,Female,Tier3,25-50k,Single,1,1,0,0,1,1,1,1,Kirana,401-700,550.0,202,0,1,0,0,1,0,0,1,6m-2y,2,No_not_priority,Not_priority,1,0,1,0,0,0,1,1-10,4,0,0,0,1,1,1,0,0,1,1,0,No_circle,Marketplace_browse,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,Quick_comm,Very_imp,No,0,0,0,1,0,1,2642,100-150,lt150,Single,Research_first,1,0,Not_Interested,550.0,2092.0,2,3,2,4,0,1
R0633,Eco Skeptic,25-34,Female,Tier2,25-50k,Family_small,1,0,0,1,1,1,0,1,Amazon_Flipkart,401-700,550.0,341,1,1,1,0,1,0,1,1,lt6m,4,Yes_few,Curious,0,0,0,1,0,0,5,11-20,4,1,0,1,0,0,1,1,0,1,1,0,Friends_rec,Marketplace_browse,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Eco_store,Somewhat,No,1,1,0,1,0,0,157,151-200,lt150,Quarterly_bulk,Unlikely,4,1,Neutral,550.0,-393.0,1,0,2,4,0,0
R0634,Urban Renter,18-24,Female,Metro,100-200k,Family_small,1,1,1,1,0,1,0,0,Quick_commerce,lt200,150.0,1427,1,0,1,0,1,0,0,1,No_fixed,2,No_considered,Conscious_buyer,1,0,0,0,1,0,1,11-20,2,0,1,1,0,0,0,1,1,1,0,0,Friends_rec,Influencer,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Quick_comm,Somewhat,Try_first,0,0,0,1,0,0,1155,100-150,lt150,Quarterly_bulk,Research_first,3,0,Neutral,150.0,1005.0,2,1,1,3,0,0
R0635,Eco Warrior,35-44,Female,Tier2,50-100k,Couple,1,1,1,1,1,1,1,0,Modern_trade,701-1200,950.0,599,1,1,0,0,0,0,0,0,6m-2y,5,No_considered,Core_identity,1,0,0,1,0,1,4,1-10,5,0,0,0,1,0,1,0,0,1,1,1,Family_use,Influencer,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,Amazon,Somewhat,Yes_if_discount,0,1,1,1,0,0,1363,151-200,gt500,Monthly_sub,Wishlist,5,1,Interested,950.0,413.0,3,3,0,4,0,0
R0636,Eco Skeptic,35-44,Male,Tier2,50-100k,Family_large,1,1,0,1,0,1,1,0,Kirana,401-700,550.0,1091,1,0,0,1,0,0,0,0,2-5y,2,Yes_regularly,Curious,0,1,1,1,0,0,5,1-10,4,0,0,0,1,0,1,1,0,1,1,0,No_circle,Doctor_derm,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,Amazon,Very_imp,No,1,0,0,1,0,0,455,151-200,150-250,Single,No,1,0,Not_Interested,550.0,-95.0,3,2,3,4,0,0
R0637,Urban Renter,25-34,Male,Metro,50-100k,Single,1,0,0,1,0,1,0,1,Amazon_Flipkart,gt1200,1400.0,860,1,0,1,0,0,0,0,1,6m-2y,4,Yes_few,Conscious_buyer,1,0,0,1,0,0,2,11-20,4,0,1,0,0,1,1,1,0,1,1,1,Family_use,Influencer,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,Amazon,Neutral,Yes_already,0,0,0,1,0,0,663,151-200,gt500,Quarterly_bulk,Research_first,5,1,Interested,1400.0,-737.0,2,3,1,6,1,0
R0638,Mindful Parent,55+,Female,Tier1,100-200k,Family_small,1,0,1,0,0,1,1,0,Modern_trade,401-700,550.0,1110,1,0,1,0,1,0,0,0,lt6m,3,Yes_regularly,Conscious_buyer,0,0,1,1,1,0,4,1-10,2,0,0,0,1,0,1,1,0,0,0,0,I_influence,Article_news,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,Quick_comm,Not_imp,Try_first,0,0,0,0,0,0,969,201-300,150-250,Monthly_sub,Research_first,5,1,Interested,550.0,419.0,3,6,2,2,0,0
R0639,Mindful Parent,18-24,Male,Tier1,25-50k,Joint,1,1,1,1,0,0,1,1,Modern_trade,401-700,550.0,231,1,1,1,0,1,0,1,1,gt5y,4,No_considered,Occasional,1,1,1,0,0,0,2,1-10,3,1,0,0,0,0,0,1,0,0,0,1,Unsure,Doctor_derm,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,Quick_comm,Somewhat,Yes_already,0,1,1,0,1,0,544,201-300,351-500,Quarterly_bulk,Unlikely,2,0,Not_Interested,550.0,-6.0,3,5,0,2,0,0
R0640,Eco Skeptic,25-34,Female,Metro,25-50k,Family_small,1,1,0,1,1,1,1,0,Kirana,701-1200,950.0,381,1,1,1,1,1,1,1,0,lt6m,4,No_not_priority,Occasional,0,0,0,1,0,0,5,1-10,3,0,0,0,1,0,0,0,0,1,0,0,I_influence,Friend_family,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,Quick_comm,Very_imp,Yes_if_discount,0,0,0,1,0,0,380,151-200,150-250,Single,Research_first,2,0,Not_Interested,950.0,-570.0,1,0,1,1,1,0
R0641,Eco Warrior,55+,Male,Tier1,100-200k,Family_small,1,0,1,0,1,1,1,0,D2C,701-1200,950.0,2276,1,0,0,0,0,1,0,1,6m-2y,5,No_considered,Core_identity,1,1,0,1,0,0,2,gt30,5,0,0,0,1,1,1,0,1,0,0,1,Family_use,Marketplace_browse,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,Brand_website,Neutral,Try_first,0,1,0,0,0,0,2941,lt100,351-500,Quarterly_bulk,Order_now,5,1,Interested,950.0,1991.0,3,5,0,4,0,0
R0642,Mindful Parent,35-44,Female,Metro,100-200k,Family_large,1,1,1,1,1,1,0,1,Modern_trade,701-1200,950.0,1286,0,1,0,0,1,0,1,1,2-5y,2,No_not_priority,Occasional,1,1,0,1,0,1,4,11-20,4,1,1,0,0,0,1,1,1,1,0,0,Family_use,Free_sample,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,Nykaa,Very_imp,Yes_if_discount,0,0,0,0,0,0,1808,201-300,gt500,Quarterly_bulk,Unlikely,1,0,Not_Interested,950.0,858.0,4,3,1,4,0,0
R0643,Mindful Parent,25-34,Female,Metro,25-50k,Joint,1,1,0,1,1,1,1,0,Modern_trade,701-1200,950.0,557,0,0,1,1,1,1,0,1,2-5y,4,Yes_regularly,Conscious_buyer,0,0,0,0,1,1,2,11-20,4,1,1,0,0,0,0,1,0,1,0,1,Friends_rec,Free_sample,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,Brand_website,Very_imp,No,1,0,0,1,0,0,418,151-200,251-350,Refill_system,Order_now,3,0,Neutral,950.0,-532.0,2,5,3,3,0,0
R0644,Mindful Parent,35-44,Female,Tier1,25-50k,Family_small,1,1,0,1,1,0,1,1,Modern_trade,701-1200,950.0,612,1,1,0,0,1,0,1,1,lt6m,3,Yes_few,Core_identity,1,1,0,1,0,0,4,11-20,5,0,1,0,0,0,1,1,0,1,0,0,Unsure,Marketplace_browse,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,Amazon,Somewhat,Try_first,0,1,0,0,0,0,451,100-150,251-350,Monthly_sub,Wishlist,5,1,Interested,950.0,-499.0,3,3,3,3,0,0
R0645,Eco Warrior,25-34,Female,Tier1,50-100k,Family_small,1,1,1,1,1,1,1,0,Pharmacy,,,838,0,0,0,0,1,0,1,1,lt6m,4,Yes_regularly,Core_identity,1,0,1,0,0,1,3,21-30,4,0,0,0,1,0,1,0,1,1,1,0,I_influence,Influencer,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,Amazon,Very_imp,Yes_already,0,0,1,1,1,0,1676,201-300,251-350,Monthly_sub,Order_now,5,1,Interested,,1126.0,3,6,0,4,0,0
R0646,Price Pragmatist,25-34,Female,Tier3,lt25k,Joint,1,1,0,1,1,0,1,1,Modern_trade,200-400,300.0,168,1,1,0,0,1,0,1,1,2-5y,4,Yes_few,Curious,0,0,1,0,0,0,3,0,3,0,0,0,1,0,0,1,0,0,0,1,No_circle,Marketplace_browse,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Amazon,Very_imp,Try_first,0,0,1,0,0,1,195,100-150,lt150,Quarterly_bulk,Research_first,5,1,Interested,300.0,-105.0,1,1,1,2,0,0
R0647,Urban Renter,35-44,Male,Tier1,50-100k,Couple,1,1,1,0,1,1,0,0,Amazon_Flipkart,,,839,1,1,0,0,1,1,0,1,lt6m,4,Yes_regularly,Not_priority,0,1,0,1,0,0,1,1-10,3,0,0,0,1,1,0,0,1,0,1,0,No_circle,Friend_family,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,Quick_comm,Neutral,Try_first,0,0,0,1,0,0,429,151-200,251-350,Monthly_sub,Research_first,5,1,Interested,,-121.0,2,3,3,3,0,0
R0648,Urban Renter,35-44,Male,Tier1,lt25k,Couple,1,0,1,1,1,1,0,0,Quick_commerce,401-700,550.0,285,0,1,0,1,0,0,0,1,No_fixed,5,Yes_few,Occasional,0,0,0,0,0,0,3,11-20,5,0,0,0,1,0,0,0,0,1,0,0,Unsure,Influencer,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,Eco_store,Somewhat,Yes_already,0,0,0,1,1,1,358,100-150,251-350,Refill_system,Research_first,5,1,Interested,550.0,-192.0,0,3,1,1,0,0
